starttime,bikeid,tripduration,from_station_name,to_station_name
6/27/2013 12:11,480,316,Michigan Ave & Oak St,Larrabee St & Menomonee St
6/27/2013 14:44,77,64,Racine Ave & Congress Pkwy,Racine Ave & Congress Pkwy
6/27/2013 14:58,77,433,Racine Ave & Congress Pkwy,Loomis St & Taylor St
6/27/2013 15:06,77,123,Loomis St & Taylor St,Loomis St & Taylor St
6/27/2013 15:13,77,852,Loomis St & Taylor St,Halsted St & James M Rochford St
6/27/2013 19:40,27,"10,105",Clark St & Wrightwood Ave,Wells St & Walton St
6/27/2013 18:45,418,"1,094",Dearborn St & Adams St,Lake Shore Dr & Monroe St
6/27/2013 19:34,170,"1,020",Millennium Park,Canal St & Jackson Blvd
6/27/2013 19:45,353,"3,419",Dearborn St & Adams St,Dearborn St & Adams St
6/27/2013 19:46,369,653,Clark St & Randolph St,Clark St & Wrightwood Ave
6/27/2013 19:50,658,"1,738",State St & Randolph St,State St & Randolph St
6/27/2013 19:52,533,"3,482",Fairbanks Ct & Grand Ave,Fairbanks Ct & Grand Ave
6/27/2013 20:22,522,"1,712",Sheffield Ave & Kingsbury St,Wells St & Walton St
6/27/2013 20:22,477,996,Michigan Ave & Lake St,Michigan Ave & Lake St
6/27/2013 20:25,525,818,Michigan Ave & Lake St,Michigan Ave & Lake St
6/27/2013 20:33,242,"2,936",State St & Randolph St,Michigan Ave & Lake St
6/27/2013 21:39,240,730,Damen Ave & Pierce Ave,Noble St & Milwaukee Ave
6/27/2013 22:15,381,"1,292",Wood St & Milwaukee Ave,Wood St & Division St
6/27/2013 22:16,343,"1,511",Michigan Ave & Oak St,Michigan Ave & Oak St
6/27/2013 22:17,220,"1,512",Michigan Ave & Oak St,Michigan Ave & Oak St
6/27/2013 22:17,157,"1,125",Wood St & Milwaukee Ave,Wood St & Division St
6/27/2013 22:20,239,964,Wood St & Milwaukee Ave,Wood St & Division St
6/27/2013 22:23,334,972,Wood St & Milwaukee Ave,Wood St & North Ave
6/27/2013 22:23,362,977,Wood St & Milwaukee Ave,Wood St & North Ave
6/27/2013 22:26,221,"2,272",Michigan Ave & Oak St,Michigan Ave & Oak St
6/27/2013 22:33,409,"1,911",Michigan Ave & Oak St,Michigan Ave & Oak St
6/27/2013 22:35,222,"1,758",Michigan Ave & Oak St,Michigan Ave & Oak St
6/27/2013 22:41,257,730,Wood St & Division St,Wood St & Milwaukee Ave
6/27/2013 23:05,325,"1,866",Sheffield Ave & Fullerton Ave,California Ave & 21st St
6/27/2013 23:06,530,"1,856",Sheffield Ave & Fullerton Ave,Cannon Dr & Fullerton Ave
6/27/2013 23:07,164,"1,117",Wood St & Milwaukee Ave,Ashland Ave & Augusta Blvd
6/27/2013 23:09,229,980,Wood St & Milwaukee Ave,Ashland Ave & Augusta Blvd
6/27/2013 23:24,176,"1,642",Michigan Ave & Oak St,Michigan Ave & Oak St
6/27/2013 23:36,221,"3,513",Michigan Ave & Oak St,Michigan Ave & Oak St
6/27/2013 23:43,159,"2,285",Cannon Dr & Fullerton Ave,Cannon Dr & Fullerton Ave
6/27/2013 23:44,306,423,Racine Ave & Congress Pkwy,Racine Ave & 18th St
6/28/2013 0:04,228,"1,995",Jefferson St & Monroe St,Jefferson St & Monroe St
6/28/2013 0:04,251,"1,977",Jefferson St & Monroe St,Jefferson St & Monroe St
6/28/2013 0:08,141,944,Millennium Park,Millennium Park
6/28/2013 0:10,632,"1,656",Noble St & Milwaukee Ave,Noble St & Milwaukee Ave
6/28/2013 0:23,531,736,Lincoln Ave & Eastwood Ave,Sheffield Ave & Fullerton Ave
6/28/2013 0:46,411,223,Dayton St & North Ave,Sheffield Ave & Kingsbury St
6/28/2013 1:24,460,"1,196",Damen Ave & Pierce Ave,State St & Randolph St
6/28/2013 2:08,592,915,Dearborn St & Adams St,Dearborn St & Adams St
6/28/2013 2:29,150,"56,023",Damen Ave & Pierce Ave,Damen Ave & Pierce Ave
6/28/2013 3:26,525,"2,681",Michigan Ave & Lake St,Michigan Ave & Lake St
6/28/2013 3:30,242,"2,433",Michigan Ave & Lake St,Michigan Ave & Lake St
6/28/2013 5:11,233,951,State St & 16th St,Martin Luther King Dr & Oakwood Blvd
6/28/2013 5:48,592,857,Dearborn St & Adams St,Millennium Park
6/28/2013 5:55,418,"1,645",Lake Shore Dr & Monroe St,Lake Shore Dr & Monroe St
6/28/2013 6:01,269,"1,285",Wood St & Milwaukee Ave,Fairbanks Ct & Grand Ave
6/28/2013 6:28,848,406,Wabash Ave & Cermak Rd,Wabash Ave & Roosevelt Rd
6/28/2013 7:13,173,"1,336",McClurg Ct & Illinois St,Franklin St & Jackson Blvd
6/28/2013 7:37,401,668,Clinton St & Washington Blvd,Michigan Ave & Lake St
6/28/2013 8:17,343,"2,789",Michigan Ave & Oak St,Lake Shore Dr & Monroe St
6/28/2013 8:18,225,"3,760",McClurg Ct & Illinois St,Michigan Ave & Congress Pkwy
6/28/2013 8:19,212,"1,593",Ashland Ave & Augusta Blvd,Clark St & Randolph St
6/28/2013 8:21,236,746,Clinton St & Washington Blvd,Kingsbury St & Erie St
6/28/2013 8:23,401,"1,368",Michigan Ave & Lake St,Michigan Ave & Lake St
6/28/2013 8:25,314,"1,057",Noble St & Milwaukee Ave,Clinton St & Madison St
6/28/2013 8:28,242,"11,437",Michigan Ave & Lake St,Ashland Ave & Chicago Ave
6/28/2013 8:30,322,"11,321",Michigan Ave & Lake St,McClurg Ct & Illinois St
6/28/2013 8:42,172,"5,377",McClurg Ct & Illinois St,McCormick Place
6/28/2013 8:49,708,"1,895",Franklin St & Chicago Ave,State St & Randolph St
6/28/2013 8:49,470,"1,106",Clinton St & Washington Blvd,Loomis St & Taylor St
6/28/2013 8:53,335,"1,007",Franklin St & Chicago Ave,Canal St & Jackson Blvd
6/28/2013 8:54,51,"1,360",Canal St & Jackson Blvd,Franklin St & Chicago Ave
6/28/2013 8:55,168,"1,196",Loomis St & Taylor St,Larrabee St & Kingsbury St
6/28/2013 8:55,154,"2,063",Michigan Ave & Congress Pkwy,Michigan Ave & Congress Pkwy
6/28/2013 8:57,236,646,Kingsbury St & Erie St,Clinton St & Madison St
6/28/2013 9:05,524,594,Larrabee St & North Ave,Ogden Ave & Chicago Ave
